"sku","image","images"
"B0CJ88D1ZL","","[""/uploads/cc1c0e28a997412e.jpg"",""/uploads/d0e97e44f74956d4.jpg"",""/uploads/21c9b18e436314b1.jpg"",""/uploads/db725355fb118a98.jpg"",""/uploads/ae260e506e052aaf.jpg"",""/uploads/7171e3120a630fb7.jpg"",""/uploads/43faf5e5d51f0aec.jpg""]"
"B0CJ88H931","","[""/uploads/c12c7e1fe2328727.jpg"",""/uploads/024f4678062dbe2e.jpg"",""/uploads/d3054d13a90a813d.jpg"",""/uploads/c00c06a167d97e0e.jpg"",""/uploads/8106b4814fde7b84.jpg"",""/uploads/ed59dea6eff3f5fb.jpg""]"
"B0CJ818CQY","","[""/uploads/d7331356d1fbecdc.jpg"",""/uploads/23d08edc64e53746.jpg"",""/uploads/ad8dcc37dc1597e8.jpg"",""/uploads/1466799ae5453c6e.jpg"",""/uploads/2394271f46b085fa.jpg"",""/uploads/14425cddd057f3a5.jpg""]"
"B0CJ87YLG7","","[""/uploads/c12c7e1fe2328727.jpg"",""/uploads/024f4678062dbe2e.jpg"",""/uploads/d3054d13a90a813d.jpg"",""/uploads/c00c06a167d97e0e.jpg"",""/uploads/8106b4814fde7b84.jpg"",""/uploads/ed59dea6eff3f5fb.jpg""]"
"B0CJ8ZGCSW","","[""/uploads/04bc350612f93f21.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8ZBYPM","","[""/uploads/8560388872240667.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8ZSRRN","","[""/uploads/8b7f34e4332da2a4.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8Z27DW","","[""/uploads/6a59ad23cb4045e2.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8VTLPK","","[""/uploads/99512e7445e41349.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8Y5GGS","","[""/uploads/e6f8af5dcf1458bc.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8YQ6F3","","[""/uploads/eef0b7024bd54d69.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/9deec70efa3ec7b3.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CJ8WV4LX","","[""/uploads/7aeb79a173930408.jpg"",""/uploads/c2dcba18fa78e979.jpg"",""/uploads/59680612b69dd006.jpg"",""/uploads/0ca4bd1ad93ae003.jpg"",""/uploads/b91ce8cb63a200d5.jpg"",""/uploads/d5564bf5cb75fba6.jpg""]"
"B0CPPH8GXB","","[""/uploads/3ac784c7e2b66cff.jpg"",""/uploads/b0192a5b0566b901.jpg"",""/uploads/53be415c64d34f34.jpg"",""/uploads/52fc6c588a5d0d4c.jpg""]"
"B0CPPHB65Q","","[""/uploads/00ca01ac4a9fd6d9.jpg"",""/uploads/5ac064471b7d15ae.jpg"",""/uploads/080e900129518434.jpg"",""/uploads/421d74e9ba64fe74.jpg"",""/uploads/53be415c64d34f34.jpg"",""/uploads/18688a37f0aabf87.jpg""]"
"B0CPPH7T3Y","","[""/uploads/ab516db2397f416d.jpg"",""/uploads/f3bc80cc8ed0ee8d.jpg"",""/uploads/6e384228765f8043.jpg"",""/uploads/aea0b3e462c09c1f.jpg"",""/uploads/53be415c64d34f34.jpg""]"
"B0CPPSCC9Q","","[""/uploads/16136824d8951599.jpg"",""/uploads/ad01607cd19d8143.jpg"",""/uploads/986c5700dc1babd1.jpg"",""/uploads/c5c2bde3a88ac8b3.jpg"",""/uploads/273ef32c7b846c85.jpg"",""/uploads/fc316319b0ca202f.jpg""]"
"B0CPPSVDSC","","[""/uploads/cbff7e1f579376d9.jpg"",""/uploads/139f6b4de420765c.jpg"",""/uploads/f4502d1bf6de3e8c.jpg"",""/uploads/e11f082a2b805e53.jpg"",""/uploads/f72eb0551814b40b.jpg"",""/uploads/6ff64133117339aa.jpg"",""/uploads/a561598c5e275a3d.jpg""]"
"B0CPPSHY2X","","[""/uploads/f505bf8ba129ffde.jpg"",""/uploads/caf5142fc1c3867e.jpg"",""/uploads/b898796a4845709d.jpg"",""/uploads/cb2d8d8d890610b4.jpg"",""/uploads/04283b9a2c432674.jpg"",""/uploads/d2bf63047d64aae1.jpg"",""/uploads/d46de5d75950ef19.jpg""]"
"B0CPPSSTBD","","[""/uploads/163c98798e2806df.jpg"",""/uploads/0395b8d63af733f6.jpg"",""/uploads/42324c6c68a0d44c.jpg"",""/uploads/30d7444b9559a4b6.jpg"",""/uploads/5a9a5f6554b4e9c9.jpg"",""/uploads/7d26fb46ad8303a6.jpg"",""/uploads/fe1c223b9ce7deb7.jpg""]"
"B0CPPXJF9X","","[""/uploads/db62d1ea7eefbafd.jpg"",""/uploads/d3c327bd3e41a22a.jpg"",""/uploads/d30939fe705abc17.jpg"",""/uploads/8df9de54a5edcc1a.jpg"",""/uploads/bb198d5168938900.jpg"",""/uploads/11ee0e7991d7e38c.jpg""]"
"B0CPPWWDP8","","[""/uploads/28e5a569d303bea3.jpg"",""/uploads/a65f214cf07215fc.jpg"",""/uploads/c499a530e6d88d89.jpg"",""/uploads/0bf07bae0d44af27.jpg""]"
"B0CPPWGB6Y","","[""/uploads/4cb3468bd486e001.jpg"",""/uploads/88c70ca961337435.jpg"",""/uploads/9c22d8c9323b0171.jpg"",""/uploads/359ff92593f1b421.jpg"",""/uploads/6a27941f1b7a4096.jpg"",""/uploads/d0ff93c37f15c471.jpg""]"
"B0CPSF9X9Y","","[""/uploads/9549833ffdde5daa.jpg"",""/uploads/e406763d1228d19a.jpg"",""/uploads/9cb3f21c8fec3e02.jpg"",""/uploads/246c470fa52051b3.jpg"",""/uploads/a1a7ef5cba195ee5.jpg"",""/uploads/df976bd4978930c4.jpg""]"
